Article	roleplaying	rpgs	xcode	hopper	kong	bytecode	battle	japan	sega	handheld	kinect	invaders	ada	firstperson	survival	game	mmorpgs	fallout	sony	ds	compiler	taito	bestselling	lisp	gun	xbox	playstation	studios	netbeans	rockstar	babbage	namco	neo	cartridge	entertainment	multiplayer	uml	racing	nes	360	compilers	2600	franchises	capcom	genre	super	legend	boy	paradigms	players	iso	tactical	adventure	3ds	lovelace	gamecube	wii	turnbased	arcades	perl	arcade	nintendos	gameplay	tennis	sports	stealth	snes	mary	ead	controller	thirdperson	atari	platformer	debugging	indie	accessories	bros	player	ar	cobol	pong	famicom	genres	zelda	games	sim	gaming	combat	scrum	mario	actionadventure	nintendo	gamers	pokmon	shooter	consoles	fighting	mmorpg	joystick	axn	
Massively_multiplayer_online_game	10	0	0	0	0	0	5	1	0	0	0	0	0	4	2	83	9	0	2	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	3	44	0	8	0	0	0	0	0	0	7	0	1	0	0	37	0	2	3	0	0	0	0	4	0	0	2	0	8	0	5	1	0	0	0	1	1	0	0	0	1	0	0	11	0	0	0	0	7	0	56	3	4	9	0	0	1	0	7	0	4	1	1	7	0	0	
Real-time_strategy	6	0	0	0	0	0	11	2	1	1	0	0	0	3	2	64	0	1	0	0	0	0	0	0	1	1	1	6	0	0	0	0	0	0	2	7	0	3	0	2	0	0	0	0	23	0	0	0	0	8	0	6	1	0	0	0	0	14	0	0	1	0	22	0	3	1	0	0	0	0	1	0	0	0	2	0	0	10	0	0	0	0	9	0	74	4	0	6	0	0	1	0	1	0	3	3	1	1	0	0	
Educational_game	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	30	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	
Amusement_arcade	0	0	0	0	1	0	0	2	3	0	0	1	0	0	0	34	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	27	0	51	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	1	0	1	0	62	0	4	0	0	0	0	0	0	0	1	2	0	0	0	0	
Game_designer	11	0	0	0	0	0	1	1	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	1	0	0	0	19	0	0	0	0	0	0	0	2	0	0	0	0	13	2	5	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	1	0	0	0	144	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	
Action_game	5	0	0	0	0	0	5	0	0	0	0	2	0	8	8	55	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0	4	0	1	0	0	13	0	3	3	0	0	0	0	2	0	0	4	0	2	0	2	2	0	0	0	0	5	0	0	0	1	0	0	30	0	0	0	0	4	1	58	3	0	3	0	0	3	0	0	0	14	0	10	1	0	0	
Video_game_design	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	145	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	14	0	1	0	0	0	0	0	0	0	0	0	2	0	0	11	0	0	0	0	0	0	24	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	
Atari	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	1	5	0	0	0	0	0	0	6	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	3	1	0	0	14	0	1	1	0	0	0	2	0	0	0	6	0	1	1	0	
List_of_most-played_video_games_by_player_count	3	1	0	0	0	0	1	0	1	3	0	0	0	0	2	30	0	0	2	1	0	0	4	0	0	3	4	3	0	1	0	1	0	0	7	2	0	0	0	1	0	1	3	1	0	1	1	3	0	10	0	1	1	2	0	1	2	2	0	0	4	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	8	0	0	0	0	1	0	22	0	0	0	0	0	1	7	0	0	1	0	1	0	0	0	
Nintendo_Switch	0	0	0	0	1	0	0	11	4	6	0	0	0	0	0	55	0	0	3	6	0	0	1	0	0	7	14	1	0	0	0	0	5	1	3	5	0	0	16	1	0	1	0	0	0	20	1	13	0	15	0	0	1	12	0	3	36	0	0	0	1	26	4	1	1	0	3	0	0	9	0	7	0	0	0	6	0	5	0	0	0	3	0	1	33	0	10	0	0	8	0	155	2	5	0	19	0	0	0	0	
Serious_game	6	0	0	0	0	0	2	0	0	3	0	0	0	1	2	71	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	4	0	3	0	0	0	0	0	0	0	0	0	1	0	1	0	2	1	0	0	0	0	2	0	0	1	1	2	0	1	1	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	3	0	35	3	11	2	0	0	1	0	0	0	1	0	1	2	0	0	
PlayStation_4	0	0	0	0	0	0	0	15	3	2	1	0	0	0	0	24	0	0	129	0	0	0	8	0	0	12	176	8	0	0	0	2	4	0	26	3	0	0	3	2	0	1	0	0	0	5	1	0	0	3	0	0	0	3	0	1	5	0	0	0	2	1	6	1	3	0	1	0	0	11	0	6	0	0	0	4	0	2	0	0	0	0	0	0	49	0	1	0	0	0	0	4	4	0	0	12	0	0	2	27	
Arcade_cabinet	0	0	0	0	0	0	0	2	1	3	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	6	0	0	0	0	0	0	0	0	2	0	35	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	1	0	1	0	30	0	1	0	0	0	0	2	0	0	0	0	1	0	4	0	
Level_design	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	2	0	1	13	0	0	0	0	1	0	7	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	
List_of_Game_of_the_Year_awards	177	0	0	0	12	0	3	7	21	7	0	2	0	98	22	243	0	13	2	5	0	5	2	0	0	335	456	66	0	49	0	13	2	0	32	2	0	8	8	231	0	8	2	37	68	55	73	19	0	1	0	4	33	13	0	53	112	8	0	0	31	0	0	1	27	4	18	0	97	0	12	22	62	0	0	0	9	2	0	0	0	1	1	73	94	1	15	9	0	46	257	220	1	4	121	0	29	5	2	0	
Game_controller	0	0	0	0	0	0	0	1	4	3	2	0	0	2	0	50	0	0	0	5	0	0	0	0	10	7	10	0	0	0	0	1	0	0	2	0	0	7	5	2	0	3	0	0	2	1	0	0	0	8	0	0	0	2	0	0	13	0	1	0	6	2	1	1	0	0	0	0	0	35	0	4	0	0	0	1	1	3	0	0	1	4	0	0	31	0	4	0	0	6	0	15	0	1	2	8	0	0	10	0	
Online_game	9	0	0	0	0	0	7	0	0	3	0	0	0	5	4	71	2	0	0	0	0	0	2	0	1	6	5	0	0	0	0	0	0	0	1	25	0	3	0	0	0	0	2	0	0	0	0	0	0	5	0	3	2	1	0	0	3	4	0	0	8	0	3	0	3	2	0	0	0	0	1	0	0	0	1	0	0	9	0	0	0	0	5	0	60	3	9	2	0	0	2	3	3	0	9	3	3	4	0	0	
Super_Nintendo_Entertainment_System	0	0	0	0	3	0	0	12	10	4	0	0	0	0	0	61	0	0	5	2	0	0	3	0	1	3	5	1	0	0	0	0	4	12	14	3	0	0	40	2	0	1	1	1	0	77	0	23	0	2	0	0	0	2	0	5	13	0	0	0	1	7	0	0	1	0	43	0	0	9	0	7	0	0	0	4	0	2	0	0	0	20	0	0	43	0	2	0	0	6	0	56	1	2	0	11	0	0	1	0	
